OBJECTID,X,Y,Area,Demand
89,29.030738925,41.000482215,85000.0,0.0
90,29.035306171,41.007690438,3192.98451718,0.0
91,29.070968376,40.98170537,3332.19638924,0.0
92,29.034967081,41.006082781,3345.17716248,0.0
93,29.092343984,40.971561948,3380.37092827,0.0
94,29.038093779,41.009170545,3440.9894432,0.0
95,29.025794938,40.988440348,3448.3411041,0.0
96,29.036514026,40.991930964,3449.5508619,0.0
97,29.088495729,40.963925414,3549.91966498,0.0
98,29.048323428,40.982577159,3565.46839005,0.0
99,29.064599657,40.965525563,3620.49717991,0.0
100,29.097531445,40.97086427,3632.01204363,0.0
101,29.042872509,40.973303221,3688.54701977,0.0
102,29.076578201,40.975233787,3756.35706545,0.0
103,29.033459099,40.994507869,3791.58445584,0.0
104,29.095276964,40.963915295,3834.78777717,0.0
105,29.082643305,40.978406971,3969.81822551,0.0
106,29.027165413,40.984251623,4038.60779077,0.0
107,29.061807,40.9802248,4072.46136699,0.0
108,29.034090874,41.004787214,4122.68119221,0.0
109,29.085949858,40.982799813,4126.49711853,0.0
110,29.105873398,40.95766125,4185.11163521,0.0
111,29.046857402,40.996091905,4216.77336975,0.0
112,29.022397347,40.987075977,4264.17735506,0.0
113,29.096680232,40.973748405,4281.76493957,0.0
114,29.082040755,40.976146972,4290.84559985,0.0
115,29.066383829,40.975478838,4313.58055873,0.0
116,29.046117483,40.982627853,4334.39129991,0.0
117,29.0295181,40.993059242,4399.39173749,0.0
118,29.032990558,40.992845892,4520.68297834,0.0
119,29.090417527,40.971709874,4541.58215446,0.0
120,29.098819716,40.966465177,4657.96337249,0.0
121,29.038509881,41.007405277,4725.39275512,0.0
122,29.088580027,40.962106725,4851.54495458,0.0
123,29.0656582,40.972083045,4996.03977763,0.0
124,29.045792457,40.984937226,5027.80307205,0.0
125,29.090463949,40.978404978,5110.29410906,0.0
126,29.041391446,40.983816769,5248.07737924,0.0
127,29.024412156,40.983629283,5265.82378614,0.0
128,29.070441551,40.979623576,5322.23210354,0.0
129,29.047548645,40.990704616,5333.31980616,0.0
130,29.075073789,40.965520598,5415.0154529,0.0
131,29.051364943,40.973664125,5596.79991565,0.0
132,29.097192075,40.975472561,5669.46971373,0.0
133,29.035847659,41.009591776,5859.66221739,0.0
134,29.074123416,40.989632169,5940.51559791,0.0
135,29.031367179,41.004313993,6937.83767587,0.0
136,29.062392959,40.976798028,7176.55700544,0.0
137,29.099053209,40.962923163,8924.76181192,0.0
138,29.083989726,40.984847459,9031.75884855,0.0
139,29.060378821,40.983009816,9085.57783229,0.0
140,29.096591495,40.955371945,9702.84489925,0.0
141,29.039954854,40.968498169,9983.2487496,0.0
142,29.091806957,40.976618133,10520.0429034,0.0
143,29.059156538,40.965206056,11634.5402438,0.0
144,29.043107242,41.007128804,12012.3396599,0.0
145,29.078869694,40.987830962,12460.911517,0.0
146,29.109037553,40.959677885,13607.9720708,0.0
147,29.068257212,40.989415367,13692.9069668,0.0
148,29.029508181,41.003372617,9000.0,0.0
149,29.077306194,40.989810488,14116.8396169,0.0
150,29.059654944,40.995155629,11000.0,0.0
151,29.080157544,40.979110464,15256.2527167,0.0
152,29.036536531,41.001785262,15353.2827679,0.0
153,29.046899521,41.000311199,16672.7929659,0.0
154,29.03411,40.999451129,17978.0434615,0.0
155,29.093695698,40.976315938,21630.1373941,0.0
156,29.053029731,40.998744705,24020.9991253,0.0
157,29.033700529,40.98546217,24795.5538315,0.0
158,29.045709099,41.004937939,25000.0,0.0
159,29.083792699,40.974874454,20000.0,0.0
160,29.07244777,40.977016116,40622.7856788,0.0
161,29.065596191,40.986115739,47125.0627258,0.0
162,29.020788911,40.983214889,45000.0,0.0
163,29.034678321,40.968140575,50000.0,0.0
164,29.029019952,40.982303537,60000.0,0.0
165,29.036308986,40.982464526,45000.0,0.0
166,29.058468775,40.9692935,80000.0,0.0
167,29.088209887,40.974550827,80000.0,0.0
168,29.062043986,40.99631743,100000.0,0.0
169,29.039477901,40.979464885,45000.0,0.0
170,29.03693885,40.9876269,106000.0,0.0
171,29.055913232,40.979019397,90000.0,0.0
172,29.054815778,40.98688081,200000.0,0.0
173,29.089982752,40.953187769,0.0,43.783164978
174,29.091488027,40.952764493,0.0,103.539253235
175,29.093601926,40.952925068,0.0,115.407757759
176,29.088541706,40.954484934,0.0,149.61257267
177,29.092910515,40.953776265,0.0,164.496191979
178,29.095232929,40.953398077,0.0,111.21881485
179,29.083370715,40.954737144,0.0,40.614657402
180,29.091456732,40.954377366,0.0,163.107587814
181,29.094369756,40.954502414,0.0,116.144122124
182,29.090415976,40.954916134,0.0,206.603502273
183,29.082748736,40.955627639,0.0,57.326034546
184,29.085362306,40.955174975,0.0,48.7827033997
185,29.090415976,40.955416134,0.0,216.499695778
186,29.095315898,40.955487588,0.0,75.0418834688
187,29.093196722,40.955707845,0.0,77.467863083
188,29.080090515,40.956209452,0.0,58.4772062302
189,29.084567512,40.956340927,0.0,56.6989383698
190,29.088749311,40.956249466,0.0,63.3002729415
191,29.092750398,40.956687118,0.0,72.949333191
192,29.097449265,40.955597449,0.0,140.456914902
