OriginID,DestinationID,Total_TruckingDuration
1,1,0.0
1,16,0.19620107133066889
1,613,0.2320103733358873
1,560,0.3376157418973021
1,126,0.3415647236526827
1,595,0.5008689986186265
1,543,0.5356429712319937
1,542,0.5908182751080632
1,577,0.7082950000293725
1,559,0.7105341060628156
1,528,0.72301302843241
1,527,0.7240798409301397
1,631,0.7421297148173429
1,578,0.8239361095493869
1,512,0.9011178215105209
1,630,0.916509784419007
1,116,0.9996198088450372
1,648,1.0212887858618669
1,666,1.02330931190171
1,498,1.0839010663193513
1,579,1.0866307278035086
1,614,1.0951511174772235
1,699,1.1059660400071576
1,683,1.1144836909215747
1,513,1.146907151683837
1,544,1.212127476652186
1,700,1.2302779391546332
1,649,1.2349217766732736
1,514,1.2382840274961409
1,124,1.241667755843132
1,632,1.2465441890775253
1,561,1.265772591017076
1,499,1.308997123389953
1,612,1.338409940482787
1,98,1.3441542085488474
1,52,1.3780150011019177
1,484,1.40462473950566
1,86,1.4154193731931584
1,597,1.4237878428420654
1,165,1.469986849379482
1,454,1.4854719244610632
1,73,1.531352989197185
1,667,1.5436131499227352
1,594,1.5485986769830764
1,485,1.5525804702656492
1,529,1.556030154489165
1,57,1.556066499588063
1,41,1.5627174564758242
1,615,1.593600056296646
1,455,1.598260476854422
1,439,1.60975411663912
1,576,1.6244020327195254
1,483,1.6409821952604355
1,470,1.643628601263409
1,665,1.6529490772014528
1,500,1.6629312977614372
1,562,1.6664411357319782
1,45,1.6811988931681758
1,608,1.6887106597380919
1,471,1.6942510681578513
1,647,1.7124743720172377
1,36,1.7191046289083336
1,643,1.728060945959501
1,580,1.7462145218974683
1,15,1.7608670737627432
1,79,1.795155933956771
1,469,1.8117464469150857
1,101,1.825276695421739
1,684,1.837815067067234
1,633,1.8560581636488065
1,424,1.8692784356639194
1,650,1.8734351205534687
1,440,1.8828499868419426
1,694,1.893248728996491
1,545,1.915921533616662
1,515,1.9261030502574386
1,732,1.9261314440079162
1,598,1.9381776194369824
1,456,1.9416161881446845
1,457,1.9695801713978507
1,682,1.9730870533082332
1,486,1.9809497829968834
1,13,2.0085894624614555
1,472,2.020379081235762
