OriginID,DestinationID,Total_TruckingDuration
1,1,0.0
1,16,0.19620107133066889
1,126,0.66876458893101
1,116,1.6256076047676844
1,15,1.7019925186935987
1,169,1.7380498081939961
1,165,1.7559206639136598
1,124,1.7828303783740442
1,86,1.822920530936723
1,52,1.8566379181631711
1,170,1.8682948723190067
1,101,1.8787120720951598
1,45,1.9711177385555245
1,4,2.0129326966707324
1,34,2.1170804108369
1,57,2.225968636669487
1,98,2.2332666978425753
1,41,2.3650773230732205
1,73,2.3912578850976347
1,96,2.510963046465912
1,37,2.5917049509637735
1,79,2.6092290510531457
1,131,2.880566094358494
1,36,2.9853128853030273
1,171,3.0652556384782503
1,13,3.098789968050457
1,61,3.1205987079907658
1,76,3.1315420483331127
1,5,3.167761987181673
1,163,3.350944668112087
1,103,3.497762017241783
1,107,3.502060363216457
1,11,3.531119745098795
1,62,3.5895389448596817
1,118,3.5915128769826654
1,157,3.6217022893487028
1,72,3.7385199366613593
1,19,3.7583687087573954
1,84,3.9507928024309167
1,139,4.001600169509323
1,136,4.021337884879383
1,141,4.0461920855284665
1,129,4.158881439924388
1,47,4.2043539942849275
1,35,4.300500571801853
1,53,4.366930920323257
1,166,4.401403364643435
1,172,4.424972074555142
1,115,4.459876963043798
1,20,4.589165172166706
1,44,4.639772622921939
1,123,4.677304233328367
1,33,4.787059258500437
1,154,4.794178941558058
1,7,4.810114739626338
1,117,4.817101493980693
1,143,4.91002946357709
1,38,4.941504577798771
1,128,4.986446081314488
1,91,5.150574470178376
1,48,5.168616095650148
1,89,5.176274925222905
1,81,5.232926707155534
1,160,5.322447992371048
1,10,5.414123929626743
1,74,5.436623558743708
1,9,5.455521458106556
1,99,5.4726663999492695
1,31,5.5074946242652425
1,18,5.6012589670606365
1,147,5.708874221367813
1,106,5.76645191888194
1,2,5.8128076041011285
1,102,5.875669790020057
1,134,5.8851679182712875
1,130,5.918117753029739
1,54,5.934279609479151
1,67,5.96212578210187
1,152,5.980788157535883
1,78,6.008022492634489
1,108,6.00838854687189
1,135,6.039983056526086
1,161,6.084708900561828
1,148,6.204698387890066
1,12,6.23807630500777
1,151,6.30296560721576
1,95,6.520560804100309
1,114,6.530695432947816
1,64,6.545944338591466
1,66,6.579044458691813
1,8,6.628385860019898
1,168,6.646217497659974
1,153,6.672854068858171
1,51,6.7279363160847385
1,149,6.7362308800073105
1,105,6.829256434746448
1,58,6.833968404882863
1,68,6.835156652890206
1,138,6.837483291434678
1,3,6.854045291948014
1,43,6.865100422226775
1,150,6.892243975282146
1,159,6.924748844977977
1,71,6.928453676788151
1,39,6.9438705798831455
1,109,6.948444392731359
1,92,6.974918163723453
1,40,7.0000479576767605
1,32,7.028904913223699
1,27,7.068555247518181
1,80,7.097766509396267
1,60,7.16594135482528
1,59,7.171900730431229
1,70,7.176779244386188
1,14,7.182332659379027
1,158,7.189259495618267
1,164,7.194933542752753
1,25,7.207463018621957
1,145,7.280145003954918
1,24,7.309776744650709
1,21,7.314506084612046
1,55,7.316361124949411
1,127,7.3184741898055945
1,88,7.359479895064982
1,65,7.380011498066831
1,85,7.423844346051411
1,6,7.430629550471038
1,125,7.478460173394853
1,112,7.566427933554718
1,77,7.658469430005238
1,121,7.724209396949221
1,50,7.752737532315193
1,122,7.791931344579481
1,90,7.821117947968573
1,97,7.859335479700958
1,63,7.8719861019322295
1,42,7.94478185145784
1,142,7.973776196079752
1,69,7.987422766722543
1,119,7.989701542416434
1,87,8.026326845010079
1,167,8.031620168259026
1,82,8.046220212972406
1,156,8.05974137244648
1,133,8.071917855409115
1,162,8.082563632070217
1,22,8.122730134206334
1,155,8.203864795495141
1,111,8.330746242711609
1,83,8.347639106040408
1,94,8.437816506945058
1,29,8.492268329599218
1,49,8.772677980718186
1,132,8.841030347907747
1,46,8.935241474572736
1,173,8.985317401539497
1,113,9.005237094400993
1,93,9.032502034852506
1,23,9.038799111292432
1,144,9.12804416544484
1,120,9.188210459879112
1,75,9.193766456363969
1,56,9.244211559032454
1,137,9.250693351189321
1,100,9.2660230407518
1,140,9.304607679628564
1,28,9.326224410755731
1,17,9.388848512582804
1,104,9.57920791045668
1,30,10.082925338610806
1,110,10.72056634779575
1,26,10.891699205184036
1,146,11.514473601051112
